"","Species","max.size.ingest.um","x2M"
"1","Hyalella azteca",112,112
"2","Daphnia magna",114.87,114.87
"3","Scenedesmus obliquus",NA,5000
"4","Ennucula tenuis",NA,5000
"5","Abra nitida",944.879348055936,944.879348055936
"6","Dunaliella salina",NA,5000
"7","Paracentrotus lividus",43959.5214247929,5000
"8","Amphibalanus amphitrite",18033.9494086471,5000
"9","Artemia franciscana",270,270
"10","Pinctada margaritifera",75278.5552137323,5000
"11","Ceriodaphnia dubia",35.67,35.67
"12","Daphnia pulex",70.87,70.87
"13","Brachionus koreanus",NA,5000
"14","Paracyclopina nana",NA,5000
"15","Tripneustes gratilla",76897.5585314262,5000
"16","Gammarus pulex",155565.560767772,5000
"17","Tigriopus japonicus",NA,5000
"18","Danio rerio",400,400
"19","Crepidula onyx",43959.5214247929,5000
"20","Chlorella pyrenoidosa",NA,5000
"21","Hydra attenuata",400,400
"22","Chironomus riparius",35483.603267903,5000
"23","Mytilus edulis",84957.644324243,5000
"24","Arenicola marina",116709.444054261,5000
"25","Eriocheir sinensis",56465.4763158651,5000
"26","Seletonema costatum",NA,5000
"27","Karenia mikimotoi",NA,5000
"28","Brachionus plicatilis",NA,5000
"29","Mytilus galloprovincialis",116709.444054261,5000
"30","Tigriopus fulvus",NA,5000
"31","Oreochromis niloticus",450118.562484908,5000
"32","Hediste diversicolor",43959.5214247929,5000
"33","Crassostrea gigas",116709.444054261,5000
"34","Oryzias melastigma",26860.7739998454,5000
